"","lat","lon","harvest_year","harvest_month","harvest_day","plantyear","iscaveinrock","use_or_not","MEAN","SE"
"68",37.45,-88.67,2007,8,14,2002,1,1,13,2.6
"69",37.45,-88.67,2010,11,9,2002,1,2,5.3,2.5
"70",37.45,-88.67,2009,10,24,2002,1,2,14,2
"71",37.45,-88.67,2008,11,29,2002,1,2,9.7,3.1
"72",37.45,-88.67,2007,8,14,2002,1,2,16,1.4
"73",37.45,-88.67,2010,11,9,2002,1,3,14,3.4
"74",37.45,-88.67,2009,10,24,2002,1,3,19,1.7
"75",37.45,-88.67,2008,11,29,2002,1,3,14,4.8
"76",37.45,-88.67,2007,8,14,2002,1,3,25,7
"77",38.38,-88.39,2010,11,9,2004,1,0,5.6,0.7
"78",38.38,-88.39,2009,10,24,2004,1,0,12,2.5
"79",38.38,-88.39,2008,11,29,2004,1,0,17,3.1
"80",38.38,-88.39,2010,11,9,2004,1,1,10,2.4
"81",38.38,-88.39,2009,10,24,2004,1,1,7.9,1.3
"82",38.38,-88.39,2008,11,29,2004,1,1,20,4.5
"83",38.38,-88.39,2010,11,9,2004,1,2,9.2,3
"84",38.38,-88.39,2009,10,24,2004,1,2,11,1.3
"85",38.38,-88.39,2008,11,29,2004,1,2,16,3.1
"86",38.38,-88.39,2010,11,9,2004,1,3,12,2
"87",38.38,-88.39,2009,10,24,2004,1,3,7.9,0.91
"88",38.38,-88.39,2008,11,29,2004,1,3,22,1.6
"89",39.81,-90.82,2010,11,9,2004,1,0,8.2,1.5
"90",39.81,-90.82,2009,10,24,2004,1,0,9.7,1.2
"91",39.81,-90.82,2008,11,29,2004,1,0,13,2.6
"92",39.81,-90.82,2010,11,9,2004,1,1,6.3,1.8
"93",39.81,-90.82,2009,10,24,2004,1,1,9.2,1.4
"94",39.81,-90.82,2008,11,29,2004,1,1,14,1.3
"95",39.81,-90.82,2009,10,24,2004,1,2,8.9,1.4
"96",39.81,-90.82,2008,11,29,2004,1,2,14,2.5
"97",39.81,-90.82,2010,11,9,2004,1,2,5,NA
"98",39.81,-90.82,2010,11,9,2004,1,3,6.1,0.5
"99",39.81,-90.82,2009,10,24,2004,1,3,11,1.5
"100",39.81,-90.82,2008,11,29,2004,1,3,17,1.2
"101",40.3,-89.94,2010,11,9,2004,1,0,8.4,2.5
"102",40.3,-89.94,2009,10,24,2004,1,0,6.1,0.79
"103",40.3,-89.94,2008,11,29,2004,1,0,16,2.5
"104",40.3,-89.94,2010,11,9,2004,1,1,8.4,2
"105",40.3,-89.94,2009,10,24,2004,1,1,7.6,2.2
"106",40.3,-89.94,2008,11,29,2004,1,1,17,3.8
"107",40.3,-89.94,2010,11,9,2004,1,2,7.1,1.4
"108",40.3,-89.94,2009,10,24,2004,1,2,5,0.5
"109",40.3,-89.94,2008,11,29,2004,1,2,16,5.2
"110",40.3,-89.94,2010,11,9,2004,1,3,5.3,1.8
"111",40.3,-89.94,2009,10,24,2004,1,3,7.6,1.2
"112",40.3,-89.94,2008,11,29,2004,1,3,16,1.4
"113",37.45,-88.67,2006,1,31,2001,1,4,9.35,2.75
"114",37.45,-88.67,2005,1,31,2001,1,4,7.8,0.6
"115",40.06,-88.2,2004,1,31,2001,1,4,19.4,2.15
"116",40.06,-88.2,2005,1,31,2001,1,4,11.05,1.55
"117",40.06,-88.2,2006,1,31,2001,1,4,18.8,3.9
"118",41.85,-88.85,2005,1,31,2001,1,4,7.8,0.6
"119",41.85,-88.85,2006,1,31,2001,1,4,8.05,0.95
